ID;ID_Ocorrencia;Cidade;AeroPorto;Data;Hora;Falha_Ocorrencia;Modelo;Tipo_Motor;Fato_Contribuinte;Aspector;Ano
82570;82570;PA;BELÉM;08/12/2023;20:20:00;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;MU-2B-60;***;Sem Informaçao;Sem Informaçao;2023
82569;82569;SP;SÃO PAULO;31/10/2023;17:26:00;CORTANTE DE VENTO / TEMPESTADE;A320-214;JATO;Sem Informaçao;Sem Informaçao;2023
82568;82568;RS;PALMEIRA DAS MISSÕES;30/11/2023;10:30:00;EXCURSÃO DE PISTA;EMB-201A;PISTÃO;Sem Informaçao;Sem Informaçao;2023
82567;82567;SP;SÃO JOSÉ DO RIO PRETO;08/11/2023;19:12:00;COLISÃO COM AVE;ATR-72-212A;TURBOÉLICE;Sem Informaçao;Sem Informaçao;2023
82563;82563;SP;ARAÇATUBA;02/12/2023;12:20:00;FALHA OU MAU FUNCIONAMENTO DO MOTOR;S-2R;PISTÃO;Sem Informaçao;Sem Informaçao;2023
82562;82562;SP;SÃO PAULO;02/12/2023;13:42:00;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;PA-46-500TP;TURBOÉLICE;Sem Informaçao;Sem Informaçao;2023
82561;82561;SP;ITUPEVA;02/12/2023;20:30:00;FALHA OU MAU FUNCIONAMENTO DO MOTOR;FOX ADVANCED;PISTÃO;Sem Informaçao;Sem Informaçao;2023
82560;82560;ES;VILA VELHA;05/12/2023;18:00:00;FALHA OU MAU FUNCIONAMENTO DO MOTOR;152;PISTÃO;Sem Informaçao;Sem Informaçao;2023
82559;82559;MS;SELVÍRIA;08/12/2023;13:00:00;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;AT-402A;***;Sem Informaçao;Sem Informaçao;2023
82558;82558;MA;SÃO LUÍS;03/07/2023;14:30:00;COLISÃO COM AVE;737-8EH;JATO;Sem Informaçao;Sem Informaçao;2023
82557;82557;CE;FORTALEZA;08/07/2023;05:40:00;COLISÃO COM AVE;737-8EH;JATO;Sem Informaçao;Sem Informaçao;2023
82556;82556;RS;PORTO ALEGRE;07/07/2023;21:30:00;COLISÃO COM AVE;737-8 MAX;JATO;Sem Informaçao;Sem Informaçao;2023
82555;82555;AL;MACEIÓ;12/07/2023;15:15:00;COLISÃO COM AVE;737-8 MAX;;Sem Informaçao;Sem Informaçao;2023
82554;82554;MT;VÁRZEA GRANDE;19/07/2023;04:05:00;COLISÃO COM AVE;737-8EH;JATO;Sem Informaçao;Sem Informaçao;2023
82553;82553;GO;GOIÂNIA;31/07/2023;21:35:00;COLISÃO COM AVE;B737-8 MAX;NULL;Sem Informaçao;Sem Informaçao;2023
82552;82552;RJ;RIO DE JANEIRO;19/07/2023;18:50:00;COLISÃO COM AVE;737-8EH;JATO;Sem Informaçao;Sem Informaçao;2023
82551;82551;SP;GUARULHOS;25/07/2023;10:20:00;COLISÃO COM AVE;737-8EH;TURBOEIXO;Sem Informaçao;Sem Informaçao;2023
82550;82550;GO;GOIÂNIA;09/05/2023;03:05:00;COLISÃO COM AVE;737-8EH;JATO;Sem Informaçao;Sem Informaçao;2023
82549;82549;BA;SALVADOR;08/05/2023;19:10:00;COLISÃO COM AVE;737-8 MAX;JATO;Sem Informaçao;Sem Informaçao;2023
82548;82548;PA;MARABÁ;07/05/2023;02:30:00;COLISÃO COM AVE;737-8EH;JATO;Sem Informaçao;Sem Informaçao;2023
82547;82547;RJ;RIO DE JANEIRO;07/05/2023;10:10:00;COLISÃO COM AVE;737-8 MAX;;Sem Informaçao;Sem Informaçao;2023
82545;82545;SP;SÃO PAULO;05/08/2023;15:41:00;COLISÃO COM AVE;A320-214;JATO;Sem Informaçao;Sem Informaçao;2023
82544;82544;AL;MACEIÓ;04/08/2023;21:07:00;COLISÃO COM AVE;A321-231;JATO;Sem Informaçao;Sem Informaçao;2023
82543;82543;PR;MARINGÁ;03/08/2023;17:25:00;COLISÃO COM AVE;ERJ 190-200 IGW;JATO;Sem Informaçao;Sem Informaçao;2023
82542;82542;SP;CAMPINAS;02/08/2023;20:35:00;COLISÃO COM AVE;ERJ 190-400;JATO;Sem Informaçao;Sem Informaçao;2023
82541;82541;GO;GOIÂNIA;29/11/2023;15:36:00;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;EMB-810C;PISTÃO;Sem Informaçao;Sem Informaçao;2023
82540;82540;MT;IPIRANGA DO NORTE;30/11/2023;11:00:00;FALHA OU MAU FUNCIONAMENTO DO MOTOR;A188B;PISTÃO;Sem Informaçao;Sem Informaçao;2023
82539;82539;PA;SANTANA DO ARAGUAIA;04/12/2023;13:00:00;FALHA OU MAU FUNCIONAMENTO DO MOTOR;EMB-202;PISTÃO;Sem Informaçao;Sem Informaçao;2023
82538;82538;PA;BELÉM;08/08/2023;18:50:00;COLISÃO COM AVE;ERJ 190-200 IGW;JATO;Sem Informaçao;Sem Informaçao;2023
82537;82537;RO;VILHENA;24/11/2023;19:40:00;OUTROS | POUSO EM LOCAL NÃO PREVISTO;PA-34-220T;PISTÃO;Sem Informaçao;Sem Informaçao;2023
82536;82536;PA;BELÉM;02/12/2023;20:36:00;COLISÃO COM AVE;A321-211;JATO;Sem Informaçao;Sem Informaçao;2023
82535;82535;CE;FORTALEZA;29/11/2023;13:02:00;COLISÃO COM AVE;A321-211;JATO;Sem Informaçao;Sem Informaçao;2023
82534;82534;AM;MANAUS;27/11/2023;18:07:00;COLISÃO COM AVE;A321-211;JATO;Sem Informaçao;Sem Informaçao;2023
82533;82533;BA;SALVADOR;27/09/2023;14:12:00;COLISÃO COM AVE;A320-251N;JATO;Sem Informaçao;Sem Informaçao;2023
82532;82532;RS;PORTO ALEGRE;27/09/2023;14:06:00;COLISÃO COM AVE;A321-211;JATO;Sem Informaçao;Sem Informaçao;2023
